,concepts,sentence
0,['mountain' 'ski' 'skier'],Skier skis down the mountain
1,['mountain' 'ski' 'skier'],A skier is skiing down a mountain.
2,['mountain' 'ski' 'skier'],Three skiers are skiing on a snowy mountain.
3,['dog' 'tail' 'wag'],The dog is wagging his tail.
4,['dog' 'tail' 'wag'],A dog wags his tail at the boy.
5,['dog' 'tail' 'wag'],a dog wags its tail with its heart
6,['canoe' 'lake' 'paddle'],woman paddling canoe on a lake
7,['canoe' 'lake' 'paddle'],paddle an open canoe along lake .
8,['canoe' 'lake' 'paddle'],a man paddles his canoe on the lake.
9,['pull' 'station' 'train'],a train pulls into station
10,['pull' 'station' 'train'],train pulling in to station .
11,['pull' 'station' 'train'],the train pulling into station
12,['eat' 'hay' 'horse'],A horse is eating hay.
13,['eat' 'hay' 'horse'],The horses are eating hay.
14,['eat' 'hay' 'horse'],A horse eats hay in the barn
15,['fan' 'match' 'watch'],watch a match with fans
16,['fan' 'match' 'watch'],the fans watch the match
17,['fan' 'match' 'watch'],a fan watches during the match
18,['lake' 'mountain' 'surround'],a lake surrounded by mountains .
19,['lake' 'mountain' 'surround'],lake from the surrounding mountains
20,['lake' 'mountain' 'surround'],one of the mountain ranges that surrounds lake .
21,['dog' 'lay' 'rug'],A dog laying on a rug.
22,['dog' 'lay' 'rug'],The dogs laid down on the rug
23,['dog' 'lay' 'rug'],Brown dog chews on bone while laying on the rug.
24,['hang' 'painting' 'wall'],hanging a painting on a wall at home
25,['hang' 'painting' 'wall'],paintings of horses hang on the walls .
26,['hang' 'painting' 'wall'],There is only one painting hanging on the wall.
27,['carry' 'food' 'tray'],boy carries a tray of food .
28,['carry' 'food' 'tray'],people carrying food on trays
29,['carry' 'food' 'tray'],The woman is carrying two trays of food.
30,['match' 'stadium' 'watch'],soccer fans watches a league match in a stadium
31,['match' 'stadium' 'watch'],A stadium full of people watching a tennis match.
32,['match' 'stadium' 'watch'],supporters watch the match from a hill outside the stadium
33,['cat' 'lick' 'paw'],A cat licks his paws.
34,['cat' 'lick' 'paw'],A cat is licking its paw
35,['cat' 'lick' 'paw'],the cat licks the pad of his front paw
36,['room' 'tile' 'wall'],a bath room with a toilet and tiled walls
37,['room' 'tile' 'wall'],Three men tile a wall in a large empty room
38,['room' 'tile' 'wall'],A wall mounted urinal in a checker tiled rest room.
39,['canoe' 'lake' 'shore'],canoe on a shore of lake .
40,['canoe' 'lake' 'shore'],canoe on shore with rainbow across the lake
41,['canoe' 'lake' 'shore'],Several canoes parked in the grass on the shore of a lake 
42,['mountain' 'skier' 'way'],A skier on his way to the mountain.
43,['mountain' 'skier' 'way'],skiers make their way down the mountain
44,['mountain' 'skier' 'way'],A skier making her way down a snowy mountain.
45,['boat' 'drive' 'lake'],driving boat on a lake
46,['boat' 'drive' 'lake'],a boat is being driven through a lake
47,['boat' 'drive' 'lake'],A fisherman drives his boat on the lake
48,['eat' 'grass' 'horse'],A horse is eating grass.
49,['eat' 'grass' 'horse'],The horses are eating grass.
50,['eat' 'grass' 'horse'],The old horse ate grass all day.
51,['come' 'track' 'train'],train coming down the track
52,['come' 'track' 'train'],A train is coming along on a track.
53,['come' 'track' 'train'],a long train in coming down some tracks
54,['move' 'track' 'train'],train moving on the tracks
55,['move' 'track' 'train'],A red train is moving down a track
56,['move' 'track' 'train'],A train moves slowly on some empty tracks
57,['leave' 'station' 'train'],a train leaves the station
58,['leave' 'station' 'train'],a train leaving station bound
59,['leave' 'station' 'train'],a fast train about to leave station
60,['passenger' 'station' 'train'],train and passengers at the station
61,['passenger' 'station' 'train'],passengers leaving a train on a station
62,['passenger' 'station' 'train'],a train at station with no passengers joining
63,['arrive' 'station' 'train'],a train arrives at station
64,['arrive' 'station' 'train'],train arriving at the station
65,['arrive' 'station' 'train'],subway train arrives in the station
66,['sit' 'station' 'train'],a train sits at the station
67,['sit' 'station' 'train'],A train that is sitting in a station.
68,['sit' 'station' 'train'],A red train sitting at an empty station.
69,['horse' 'pull' 'wagon'],a tea of horses pull a wagon
70,['horse' 'pull' 'wagon'],horse pulling man on wagon .
71,['horse' 'pull' 'wagon'],A wagon is being pulled by horses.
72,['station' 'stop' 'train'],train is stopped at a station
73,['station' 'stop' 'train'],trains stopping at the station
74,['station' 'stop' 'train'],The empty train is stopped in the station.
75,['plane' 'runway' 'sit'],A plane sits on the runway
76,['plane' 'runway' 'sit'],An old plane is sitting on a runway.
77,['plane' 'runway' 'sit'],Two planes are sitting out on the runway.
78,['cloud' 'fly' 'plane'],plane flying into the clouds
79,['cloud' 'fly' 'plane'],flying plane against a cloud .
80,['cloud' 'fly' 'plane'],A plane flies over head in the clouds.
81,['dog' 'herd' 'sheep'],A dog herds a sheep.
82,['dog' 'herd' 'sheep'],A dog is herding sheep.
83,['dog' 'herd' 'sheep'],The dogs are herding sheep.
84,['beach' 'boat' 'sit'],boats sitting on the beach
85,['beach' 'boat' 'sit'],a boat is sitting up on a beach
86,['beach' 'boat' 'sit'],Pelicans sit on a blue boat at the beach.
87,['come' 'station' 'train'],a train coming into station
88,['come' 'station' 'train'],tube train comes to station .
89,['come' 'station' 'train'],train coming in to the station
90,['cloud' 'float' 'sky'],clouds floating in the sky
91,['cloud' 'float' 'sky'],clouds float through a blue sky
92,['cloud' 'float' 'sky'],shot of clouds that float across the sky
93,['eat' 'elephant' 'grass'],elephants pulling grass to eat .
94,['eat' 'elephant' 'grass'],An elephant is eating grass in Kenya.
95,['eat' 'elephant' 'grass'],a bunch of elephants are eating grass
96,['family' 'spend' 'time'],family spend time in the park
97,['family' 'spend' 'time'],spending time with the family
98,['family' 'spend' 'time'],family spend time at a holidays
99,['bathroom' 'tile' 'wall'],black walls and tiles in the bathroom
100,['bathroom' 'tile' 'wall'],A bathroom has green tile on the walls.
101,['bathroom' 'tile' 'wall'],A bathroom with blue walls and pink tile.
102,['light' 'shine' 'window'],A red light shines in his window.
103,['light' 'shine' 'window'],Light from a window shining onto a bed. 
104,['light' 'shine' 'window'],A beam of light shines through the window.
105,['come' 'light' 'window'],light coming through the windows
106,['come' 'light' 'window'],Some light comes in from the windows.
107,['come' 'light' 'window'],Very faint light comes in at a side window.
108,['enter' 'station' 'train'],a subway train enters a station
109,['enter' 'station' 'train'],The train is entering the station.
110,['enter' 'station' 'train'],people enter a tube train at station .
111,['building' 'cloud' 'sky'],building and clouds moving in the blue sky
112,['building' 'cloud' 'sky'],white clouds in a blue sky reflecting off buildings
113,['building' 'cloud' 'sky'],building and clouds against blue sky seen from a city
114,['feed' 'giraffe' 'zoo'],feeding giraffe at the zoo
115,['feed' 'giraffe' 'zoo'],A boy feeding a giraffe at a zoo
116,['feed' 'giraffe' 'zoo'],A woman feeds two giraffes at the zoo.
117,['cat' 'grass' 'lie'],cat lay on the grass
118,['cat' 'grass' 'lie'],cat lying in the grass
119,['cat' 'grass' 'lie'],cat lying on grass in a public park
120,['beach' 'spend' 'time'],tourists spend time on a beach
121,['beach' 'spend' 'time'],people spend time at the beach
